Rank,Title,Score
1,Sousou no Frieren,9.26
2,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,9.20
3,Fullmetal Alchemist: Brotherhood,9.11
4,Steel Ball Run: JoJo no Kimyou na Bouken,9.11
5,Chainsaw Man Movie: Reze-hen,9.07
6,Steins;Gate,9.07
7,Gintama: The Final,9.05
8,Gintama°,9.05
9,Shingeki no Kyojin Season 3 Part 2,9.05
10,Hunter x Hunter (2011),9.03
11,Ginga Eiyuu Densetsu,9.02
12,Gintama',9.02
13,Gintama': Enchousen,9.02
14,One Piece Fan Letter,9.01
15,Bleach: Sennen Kessen-hen,8.98
16,Gintama.,8.98
17,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.95
18,Clannad: After Story,8.93
19,Fruits Basket: The Final,8.93
20,Gintama,8.93
21,Koe no Katachi,8.93
22,Code Geass: Hangyaku no Lelouch R2,8.92
23,Kusuriya no Hitorigoto 2nd Season,8.91
24,3-gatsu no Lion 2nd Season,8.90
25,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89
26,Monster,8.89
27,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88
28,Sousou no Frieren 2nd Season,8.87
29,Owarimonogatari 2nd Season,8.86
30,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86
31,Kingdom 3rd Season,8.85
32,Kusuriya no Hitorigoto,8.85
33,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83
34,Vinland Saga Season 2,8.83
35,Violet Evergarden Movie,8.83
36,Kimi no Na wa.,8.82
37,Gintama. Shirogane no Tamashii-hen,8.81
38,Ashita no Joe 2,8.80
39,Shingeki no Kyojin: The Final Season,8.79
40,Hajime no Ippo,8.78
41,Kizumonogatari III: Reiketsu-hen,8.78
42,Mob Psycho 100 II,8.78
43,Vinland Saga,8.78
44,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77
45,Sen to Chihiro no Kamikakushi,8.77
46,Shingeki no Kyojin: The Final Season Part 2,8.77
47,Monogatari Series: Second Season,8.76
48,Cowboy Bebop,8.75
49,Takopii no Genzai,8.75
50,Bocchi the Rock!,8.73
